group;label;mentions;docs;weight;weighted_mentions
generic;Chronik/Chroniken;432;19;1.2;518.4
generic;Chronicon/Chronica;58;9;1.2;69.6
generic;Chronist/Chronisten;33;12;1.2;39.6
generic;Jahrbuch/Jahrbücher;22;13;1.2;26.4
generic;Historia/Historiae;16;4;1.2;19.2
generic;Stadtchronik (generisch);13;9;1.2;15.6
generic;Annales/Annalen;10;4;1.2;12.0
generic;Tagebuch;5;2;1.2;6.0
generic;Gesta/Acta;2;2;1.2;2.4
series;QSG (Quellen zur Schweizer Geschichte);46;13;1.0;46.0
series;Basler Chroniken (Reihe);9;6;1.0;9.0
series;MGH (allg.);8;6;1.0;8.0
series;MGH SS (Monumenta Germaniae Historica Scriptores);1;1;1.0;1.0
work;Fründ (Hans Fründ);363;11;1.0;363.0
work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);288;19;1.0;288.0
work;Bullinger (Heinrich Bullinger);113;6;1.0;113.0
work;Schilling (Diebold Schilling, Berner/Luzerner Chronik);107;8;1.0;107.0
work;Edlibach (Gerold Edlibach);92;6;1.0;92.0
work;Klingenberger Chronik;85;14;1.0;85.0
work;Stumpf (Johannes Stumpf);62;6;1.0;62.0
work;Tschachtlan (Benedikt Tschachtlan);59;9;1.0;59.0
work;Justinger (Konrad Justinger);23;4;1.0;23.0
work;Zürcher Stadtchronik;21;4;1.0;21.0
work;Brennwald (Johann/Johannes Brennwald);19;6;1.0;19.0
work;Etterlin (Petermann Etterlin);19;4;1.0;19.0
work;Berner Chronik (allg.);11;6;1.0;11.0
work;Valerius Anshelm;11;2;1.0;11.0
work;Schodoler (Werner Schodoler);9;3;1.0;9.0
work;Melchior Russ;8;2;1.0;8.0
